종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"037710","광주신세계","KOSPI",,"221000","-7000","-3.07","228000","232000","221000","4387","989157000","353600000000","1600000"
"026910","광진실업","KOSDAQ","중견기업부","6140","-120","-1.92","6260","6260","6090","11401","70242450","39329186700","6405405"
"090150","광진윈텍","KOSDAQ","중견기업부","9580","80","0.84","9520","9800","9260","228063","2175586040","166293404940","17358393"
"355150","교보10호스팩","KOSDAQ","SPAC(소속부없음)","2215","-10","-0.45","2240","2240","2215","21760","48409815","11783800000","5320000"
"331520","교보9호스팩","KOSDAQ","SPAC(소속부없음)","2235","-15","-0.67","2265","2265","2225","47702","106591080","8671800000","3880000"
"030610","교보증권","KOSPI",,"8500","-50","-0.58","8550","8550","8480","30924","263051640","549553016000","64653296"
"339770","교촌에프앤비","KOSPI",,"20200","-200","-0.98","20350","20350","19850","106566","2138947050","504647308000","24982540"
"053270","구영테크","KOSDAQ","중견기업부","3880","25","0.65","3825","3985","3815","667882","2619766060","102409395120","26394174"
"007690","국도화학","KOSPI",,"81700","2600","3.29","77800","83500","76600","357276","28840971300","736167327200","9010616"
"005320","국동","KOSPI",,"2470","-80","-3.14","2560","2565","2465","547198","1366350600","133247294310","53946273"
"001140","국보","KOSPI",,"1370","-35","-2.49","1390","1390","1355","782574","1071319980","83659791170","61065541"
"066620","국보디자인","KOSDAQ","우량기업부","20550","-300","-1.44","20850","20900","20500","7064","145653700","154125000000","7500000"
"043650","국순당","KOSDAQ","우량기업부","9170","20","0.22","9150","9300","8800","82818","755558310","163760647680","17858304"
"006050","국영지앤엠","KOSDAQ","중견기업부","2265","-25","-1.09","2280","2290","2260","156399","354772685","79037725395","34895243"
"060480","국일신동","KOSDAQ","중견기업부","4310","-10","-0.23","4320","4350","4280","38949","167945205","47797900000","11090000"
"078130","국일제지","KOSDAQ","중견기업부","5460","-40","-0.73","5500","5530","5420","495496","2705198240","696791402580","127617473"
"307750","국전약품","KOSDAQ","우량기업부","13450","50","0.37","13100","13850","12750","9338444","124639462200","659981668050","49069269"
"002720","국제약품","KOSPI",,"8900","180","2.06","8730","9470","8480","4502919","40667334480","171557201000","19276090"
"243870","굿센","KONEX","일반기업부","17000","-800","-4.49","17000","17800","17000","73","1242600","43924685000","2583805"
"204020","그리티","KOSDAQ","중견기업부","3520","-25","-0.71","3560","3585","3515","105482","373212770","70918953600","20147430"
"083420","그린케미칼","KOSPI",,"11550","-250","-2.12","11800","11800","11500","75033","872831600","277200000000","24000000"
"186230","그린플러스","KOSDAQ","벤처기업부","17850","250","1.42","17800","18400","17800","153380","2771627650","193140355800","10820188"
"014530","극동유화","KOSPI",,"4350","35","0.81","4295","4395","4280","131117","569371550","151681977000","34869420"
"900070","글로벌에스엠","KOSDAQ","외국기업(소속부없음)","1015","-20","-1.93","1020","1035","1000","433215","440231305","54550127520","53743968"
"204620","글로벌텍스프리","KOSDAQ","중견기업부","3330","-45","-1.33","3420","3420","3330","50105","168112230","162293181030","48736691"
"019660","글로본","KOSDAQ","중견기업부","4095","-35","-0.85","4150","4185","4095","259349","1072346985","134169886305","32764319"
"014280","금강공업","KOSPI",,"8810","120","1.38","8710","8940","8530","200167","1761619820","258391635170","29329357"
"014285","금강공업우","KOSPI",,"14700","150","1.03","14650","14800","14550","5970","88008000","8671162500","589875"
"053260","금강철강","KOSDAQ","우량기업부","5740","60","1.06","5670","5800","5650","38137","218783740","107452800000","18720000"
"008870","금비","KOSPI",,"74500","-900","-1.19","75300","75400","74400","611","45756100","74500000000","1000000"
"001570","금양","KOSPI",,"5380","-160","-2.89","5570","5660","5340","775414","4263095190","258781744480","48100696"
"002990","금호건설","KOSPI",,"12850","-50","-0.39","12900","13000","12700","119464","1533352150","470745923400","36633924"
"002995","금호건설우","KOSPI",,"35350","1050","3.06","34050","35350","33500","1319","45710800","10331603100","292266"
"011780","금호석유","KOSPI",,"204500","1000","0.49","203500","206500","202500","210956","43207940500","6230642809500","30467691"
"011785","금호석유우","KOSPI",,"125000","1500","1.21","123500","126000","122500","32793","4094352000","377935750000","3023486"
"214330","금호에이치티","KOSPI",,"2365","40","1.72","2335","2410","2310","2167416","5138677240","325449064270","137610598"
"001210","금호전기","KOSPI",,"3800","35","0.93","3765","3870","3745","97497","371226475","62576503800","16467501"
"073240","금호타이어","KOSPI",,"6120","250","4.26","5760","6130","5750","682859","4126146830","1758032956440","287260287"
"036190","금화피에스시","KOSDAQ","우량기업부","32900","-250","-0.75","32700","33650","32600","10105","333941850","197400000000","6000000"
