id,name,yeartime
259,구영테크,2021
260,국도화학,2021
261,국동,2021
262,국보,2021
263,국보디자인,2021
264,국영지앤엠,2021
265,국일신동,2021
266,국일제지,2021
267,국전약품,2021
268,국제약품,2021
269,굿센,2021
270,그래디언트,2021
271,그리티,2021
272,그린케미칼,2021
273,그린플러스,2021
274,극동유화,2021
275,글로본,2021
276,금강철강,2021
277,금양,2021
278,금호건설,2021
279,금호석유,2021
280,금호에이치티,2021
281,금호전기,2021
282,금호타이어,2021
283,금화피에스시,2021
284,기산텔레콤,2021
285,기신정기,2021
286,까뮤이앤씨,2021
287,까스텔바작,2021
288,깨끗한나라,2021
289,나노,2021
290,나노브릭,2021
291,나노신소재,2021
292,나노씨엠에스,2021
293,나노엔텍,2021
294,나노캠텍,2021
295,나라소프트,2021
296,나라엠앤디,2021
297,나래나노텍,2021
298,나무가,2021
299,나무기술,2021
300,나스미디어,2021
301,나우IB,2021
302,나우코스,2021
303,나이벡,2021
304,나이스디앤비,2021
305,나이스정보통신,2021
306,남광토건,2021
307,남선알미늄,2021
308,남성,2021
309,남양유업,2021
310,남해화학,2021
311,남화산업,2021
312,남화토건,2021
313,내츄럴엔도텍,2021
314,네오셈,2021
315,네오오토,2021
316,네오위즈,2021
317,네오위즈홀딩스,2021
318,네오크레마,2021
319,네오티스,2021
320,네오팜,2021
321,네오펙트,2021
322,네온테크,2021
323,네패스,2021
324,네패스아크,2021
325,넥센,2021
326,넥센타이어,2021
327,넥스턴바이오,2021
328,넥스트아이,2021
329,넥스틴,2021
330,넥슨게임즈,2021
331,노드메이슨,2021
332,노랑풍선,2021
333,노루페인트,2021
334,노루홀딩스,2021
335,노바렉스,2021
336,노바텍,2021
337,노브메타파마,2021
338,노블엠앤비,2021
339,노을,2021
340,노터스,2021
341,녹십자,2021
342,녹십자엠에스,2021
343,녹십자웰빙,2021
344,녹십자홀딩스,2021
345,농심,2021
346,농심홀딩스,2021
347,농우바이오,2021
348,누리플랜,2021
349,누리플렉스,2021
350,뉴로스,2021
351,뉴보텍,2021
352,뉴인텍,2021
353,뉴지랩파마,2021
354,뉴트리,2021
355,뉴파워프라즈마,2021
356,뉴프렉스,2021
357,다나와,2021
358,다믈멀티미디어,2021
359,다보링크,2021
360,다산네트웍스,2021
