"id","bspl","detailname","resultname"
2437,PL,위생용역비,매출원가
2438,BS,보증금자산,위치파악3
2439,BS,보증금부채,위치파악3
2440,PL,통화스왑평가손익,위치파악2
2441,PL,이자율스왑평가손익,위치파악2
2442,PL,기타포괄공정가치측정금융자산처분손익,금융손익
2443,BS,당기손익_공정가치금융자산,금융자산
2444,BS,기타포괄손익_공정가치금융자산,금융자산
2445,BS,당기손익_공정가치금융부채,금융부채
2446,BS,기타포괄손익_공정가치금융자산평가손익,기타자본
2447,BS,기타포괄손익관련법인세,기타자본
2448,BS,기타포괄손익공정가치금융자산의평가손익,기타자본
2449,BS,비유동미지급법인세,금융부채
2450,BS,장기근속충당부채,충당부채
2451,BS,재평가잉여금의변동,기타자본
2452,PL,지배기업의소유주에게귀속되는자본,기타자본
2453,BS,유동성장기금융부채,금융부채
2454,BS,해외사업환산대,기타포괄손익
2455,PL,포괄손익지배기업의소유주에게귀속되는지분,총포괄손익
2456,PL,포괄손익비지배지분,총포괄손익
2457,BS,기타장기종업원채무,충당부채
2458,PL,관계기업의당기순손익에대한지분증가,영업외손익
2459,BS,종속회사및관계회사투자,투자주식
2460,BS,유동성자산유동화채무,금융부채
2461,BS,자산유동화채무,금융부채
2462,PL,법인세비용차감전당기순손익,세전이익
2463,BS,기타포괄손익누계,기타자본
2464,BS,종속기업,투자주식
2465,BS,매출채권및금융리스채권,금융자산
2466,BS,장기매출채권및금융리스채권,금융자산
2467,PL,지분법주식처분손익,영업외손익
2468,BS,"기타포괄손익공정가치측정
지분상품평가손익",기타자본
2469,BS,"기타포괄손익공정가치측정
지분상품처분손익",기타자본
2470,PL,계속사업주당이익,제거
2471,PL,중단사업주당이익,제거
2472,BS,부의적립금,이익잉여금
2473,PL,일반기타수익,영업외손익
2474,PL,일반기타비용,영업외손익
2475,BS,관계기업및종속기업투자주식,투자주식
2476,BS,유동기타자산,기타자산
2477,BS,유동기타금융부채,금융부채
2478,PL,종속기업관계기업및공동기업투자관련손실,영업외손익
2479,PL,종속기업관련투자손익,영업외손익
2480,BS,비유동기타포괄손익공정가치금융자산,금융자산
2481,BS,유동파생금융상품부채,금융부채
2482,BS,기타포괄손익공정가치측정평가손익,기타자본
2483,cf,기타재무활동현금흐름,재무활동현금흐름
2484,BS,단기환불부채,충당부채
2485,BS,장기환불부채,충당부채
2486,BS,비유동차입부채,금융부채
